name,habitat,food,nesting,behaviour,conservation,length,MaxLength,wingspan,MaxWingspan,weight,AvgWeight,Clutch Size,MinClutch,MaxClutch,number of broods,MaxBrood,Egg Length,MaxEggL,Egg Width,MaxEggW,Incubation period,MaxIncubation,MinIncubation,nestling period,MinNestling,MaxNestling,order 2,family 2
Western Kingbird,Grassland,Insects,Tree,Flycatching,Least Concern,20-24,24, 37-40,40,37-46,41.5,2-7,2,7, 1-2 ,2 ,2.3-2.4,2.4,1.7-1.8,1.8,12-19,19,12,13-19,13,19, PASSERIFORMES, TYRANNIDAE
Eastern Phoebe,Open Woodland,Insects,Building,Flycatching,Least Concern,14-17,17, 26-28,28,16-21,18.5,2-6,2,6, 1-2 ,2 ,1.8-2.1,2.1,1.4-1.7,1.7,15-16,16,15,16-20,16,20, PASSERIFORMES, TYRANNIDAE
Scissor-tailed Flycatcher,Grassland,Insects,Tree,Flycatching,Least Concern,22-37,37,,,36-56,46.0,3-6,3,6, 1-2 ,2 ,2-2.4,2.4,1.5-2,2,13-23,23,13,14-17,14,17, PASSERIFORMES, TYRANNIDAE
Alder Flycatcher,Scrub,Insects,Shrub,Flycatching,Least Concern,13-17,17, 21-24,24,12-14,13.0,3-4,3,4,,,,,,,,,,,,, PASSERIFORMES, TYRANNIDAE
Great Kiskadee,Open Woodland,Insects,Tree,Flycatching,Least Concern,,,,,,,2-5,2,5, 1-2 ,2 ,2.7-3.2,3.2,2-2.3,2.3,15-22,22,15,10-12,10,12, PASSERIFORMES, TYRANNIDAE
Sandhill Crane,Marsh,Omnivore,Ground,Probing,Least Concern,120,120, 200, 200,3400-4900,4150.0,1-3,1,3, 1 , 1 ,9.3,9.3,5.9,5.9,29-32,32,29,,,, GRUIFORMES, GRUIDAE
Roseate Spoonbill,Marsh,Fish,Tree,Probing,Least Concern,71-86,86, 120-130,130,1200-1800,1500.0,,,,,,,,,,,,,,,, PELECANIFORMES, THRESKIORNITHIDAE
Least Bittern,Marsh,Fish,Ground,Stalking,Least Concern,28-36,36, 41-46,46,51-102,76.5,2-7,2,7,,,,,,,,,,,,, PELECANIFORMES, ARDEIDAE
Great Blue Heron,Marsh,Fish,Tree,Stalking,Least Concern,97-137,137, 167-201,201,2100-2500,2300.0,2-6,2,6, 1-2 ,2 ,6.1-7.6,7.6,4.5-5,5,27-29,29,27,49-81,49,81, PELECANIFORMES, ARDEIDAE
Yellow-crowned Night-Heron,Marsh,Insects,Tree,Stalking,Least Concern,55-70,70,,,650-800,725.0,2-6,2,6, 1 , 1 ,5.1-5.7,5.7,3.6-4.6,4.6,24-25,25,24,25-35,25,35, PELECANIFORMES, ARDEIDAE
Black-crowned Night-Heron,Marsh,Fish,Tree,Stalking,Least Concern,58-66,66, 115-118,118,727-1014,870.5,3-5,3,5, 1 , 1 ,5-5.6,5.6,3.6-3.9,3.9,24-26,26,24,29-34,29,34, PELECANIFORMES, ARDEIDAE
