name,numRecordings,habitat,food,nesting,conservation,AvgWingspan,AvgLength,AvgWeight,order 2,family 2
Thayer's Gull,0,Shore-line,Omnivore,Cliff,Least Concern,140,56,1000, CHARADRIIFORMES, LARIDAE
Thick-billed Murre,9,Ocean,Fish,Cliff,Least Concern,71,45,1115.5, CHARADRIIFORMES, ALCIDAE
Townsend's Solitaire,25,Open Woodland,Insects,Ground,Least Concern,33,21,32.5, PASSERIFORMES, TURDIDAE
Townsend's Warbler,91,Forest,Insects,Tree,Least Concern,20,12,9, PASSERIFORMES, PARULIDAE
Tree Swallow,57,Lake/Pond,Insects,Cavity,Least Concern,32.5,13.5,20.5, PASSERIFORMES, HIRUNDINIDAE
Tricolored Heron,23,Marsh,Fish,Tree,Least Concern,95,65,415, PELECANIFORMES, ARDEIDAE
Tropical Kingbird,185,Open Woodland,Insects,Tree,Least Concern,38,20.5,37.5, PASSERIFORMES, TYRANNIDAE
Trumpeter Swan,15,Lake/Pond,Plants,Ground,Least Concern,203,148,10200, ANSERIFORMES, ANATIDAE
Tufted Puffin,0,Ocean,Fish,Burrow,Least Concern,74,38,760, CHARADRIIFORMES, ALCIDAE
Tufted Titmouse,117,Forest,Insects,Cavity,Least Concern,23,15,22, PASSERIFORMES, PARIDAE
Tundra Swan,41,Lake/Pond,Plants,Ground,Least Concern,168,133.5,7150, ANSERIFORMES, ANATIDAE
Turkey Vulture,3,Open Woodland,Carrion,Cliff,Least Concern,174,72.5,2000, ACCIPITRIFORMES, CATHARTIDAE
Upland Sandpiper,34,Grassland,Insects,Ground,Least Concern,47,30,161.5, CHARADRIIFORMES, SCOLOPACIDAE
Varied Bunting,19,Scrub,Insects,Shrub,Least Concern,21,12.5,12, PASSERIFORMES, CARDINALIDAE
Varied Thrush,49,Forest,Insects,Tree,Least Concern,36,22.5,82.5, PASSERIFORMES, TURDIDAE
Vaux's Swift,14,Forest,Insects,Tree,Least Concern,28,11,18.5, APODIFORMES, APODIDAE
Veery,125,Forest,Insects,Ground,Least Concern,28.5,17.5,41, PASSERIFORMES, TURDIDAE
Verdin,60,Scrub,Insects,Shrub,Least Concern,16,10,6.5, PASSERIFORMES, REMIZIDAE
Vermilion Flycatcher,62,Open Woodland,Insects,Tree,Least Concern,30,13.5,12.5, PASSERIFORMES, TYRANNIDAE
Vesper Sparrow,80,Grassland,Insects,Ground,Least Concern,24,14.5,24, PASSERIFORMES, EMBERIZIDAE
Violet-green Swallow,40,Open Woodland,Insects,Cavity,Least Concern,27,12,14, PASSERIFORMES, HIRUNDINIDAE
Virginia Rail,86,Marsh,Insects,Ground,Least Concern,35,23.5,80, GRUIFORMES, RALLIDAE
Wandering Tattler,10,Shore-line,Insects,Ground,Least Concern,52.5,28,114.5, CHARADRIIFORMES, SCOLOPACIDAE
Warbling Vireo,194,Open Woodland,Insects,Tree,Least Concern,22,12.5,13, PASSERIFORMES, VIREONIDAE
Western Bluebird,27,Open Woodland,Insects,Cavity,Least Concern,29,17.5,27.5, PASSERIFORMES, TURDIDAE
Western Grebe,17,Lake/Pond,Fish,Floating,Least Concern,82.5,65,1300, PODICIPEDIFORMES, PODICIPEDIDAE
Western Gull,12,Ocean,Fish,Cliff,Least Concern,132,61,1025, CHARADRIIFORMES, LARIDAE
Western Kingbird,54,Grassland,Insects,Tree,Least Concern,38.5,22,41.5, PASSERIFORMES, TYRANNIDAE
Western Meadowlark,131,Grassland,Insects,Ground,Least Concern,41,21,102, PASSERIFORMES, ICTERIDAE
